"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WBE8D9XF","journalArticle","2024","Mills, Candice M.; Goldstein, Thalia R.; Kanumuru, Pallavi; Monroe, Anthony J.; Quintero, Natalie B.","00_Debunking the Santa myth: The process and aftermath of becoming skeptical about Santa","Developmental Psychology","","1939-0599","10.1037/dev0001662","","Two studies examined the process and aftermath of coming to disbelieve in the myth of Santa Claus. In Study 1, 48 children ages 6–15 answered questions about how they discovered Santa was not real and how the discovery made them feel, and 44 of their parents shared their perspectives and how they promoted Santa. In Study 2, 383 adults reflected on their experiences shifting to disbelief in Santa Claus. In both studies, the average age of disbelief was around 8, but with significant variability. Most participants reported testimony from others contributed to their disbelief, and some reported skepticism as a result of either experience (e.g., observation) or logical reasoning. About a third of children and half of adults reported some negative emotions upon discovering the truth. Higher levels of parental Santa promotion were associated with experiencing some negative emotions upon discovering the truth in both studies. Additionally, adults who reported feeling only negative emotions tended to be older when they discovered the truth, more likely to have reported learning the truth abruptly, and more likely to have reported learning the truth through testimony. That said, experiences of negative emotions were generally short-lived, and the vast majority of both children and adults reported they would celebrate Santa with their own children or were already doing so. Implications of these findings for how to approach children’s transition to skepticism regarding Santa are discussed, including timing, the role of parents, and popular notions of discovery for children’s trust toward their parents. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","2024","2025-07-15 03:33:43","2025-07-29 11:34:34","","1-16","","1","60","","","Debunking the Santa myth","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\H4ZYJGBA\Mills 等 - 2024 - Debunking the Santa myth The process and aftermath of becoming skeptical about Santa.pdf","","","Adolescent Attitudes; Child Attitudes; Fantasy; Myths; Reasoning; Skepticism; Trust (Social Behavior); Truth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6CCN8LY","journalArticle","2024","Shtulman, Andrew; Goulding, Brandon; Friedman, Ori","00_Improbable but possible: Training children to accept the possibility of unusual events","Developmental Psychology","","1939-0599","10.1037/dev0001670","","Young children tend to deny the possibility of events that violate their expectations, including events that are merely improbable, like making onion-flavored ice cream or owning a crocodile as a pet. Could this tendency be countered by teaching children more valid strategies for judging possibility? We explored this question by training children aged 4–12 (n = 128) to consider either the similarity between the target event and unusual events that have actually occurred or causal mechanisms that might bring the target event about. Both trainings increased children’s acceptance of improbable events but only for the types of events addressed during training. Older children were more likely to accept improbable events, as were children who scored higher on a measure of cognitive reflection, but neither age nor cognitive reflection moderated the effects of training. These findings indicate that children can use both similarity and causality to assess possibility, but the use of this information is highly circumscribed, further demonstrating how robustly children conflate improbability with impossibility. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","2024","2025-07-15 03:33:43","2025-07-29 11:34:48","","17-27","","1","60","","","Improbable but possible","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\TFAGV45K\Shtulman 等 - 2024 - Improbable but possible Training children to accept the possibility of unusual events.pdf","","","Expectations; Childhood Development; Reasoning; Causality; Cognition; Judgment; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H9ZJGBMV","journalArticle","2024","Lefebvre, Jean Paul; Goddeeris, Hailey; Hamzagic, Zachariah I.; Krettenauer, Tobias","00_Moral identity goal characteristics: Age-related trends from early adolescence to old age","Developmental Psychology","","1939-0599","10.1037/dev0001615","","The study investigated age-related trends in moral identity goal characteristics, as proposed in previous research (Krettenauer, 2022a), by modifying the Self-Importance of Moral Identity Questionnaire (Aquino & Reed, 2002). Internally and externally motivated moral identity was assessed on varying levels of abstractness for promotion orientation as well as prevention orientation in Canadian participants from three different age groups: early adolescence (13–14 years, n = 248, 119 female), late adolescence to early adulthood (17–20 years, n = 251, 160 female), and mid to old age (50–76 years, n = 129, 76 female). Findings demonstrate that the self-importance of abstract moral identity characteristics increased with age relative to concrete identity characteristics, while the relationship between the two characteristics weakened. The same trend was found for internal moral identity motivation in comparison to external motivation. The study demonstrates that moral identity does not only reflect stable individual differences but is also an important developmental construct. Merging developmental and individual difference perspectives on moral identity opens new and promising avenues for future research. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","2024","2025-07-15 03:33:43","2025-07-29 11:34:54","","28-44","","1","60","","","Moral identity goal characteristics","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\36VANI7U\Lefebvre 等 - 2024 - Moral identity goal characteristics Age-related trends from early adolescence to old age.pdf","","","Individual Differences; Trends; Early Adolescence; Goals; Intrinsic Motivation; Morality; Older Adulthood; Self-Concept","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9R5QSXDL","journalArticle","2024","Cerino, Eric S.; Charles, Susan T.; Mogle, Jacqueline; Rush, Jonathan; Piazza, Jennifer R.; Klepacz, Laura M.; Lachman, Margie E.; Almeida, David M.","01_Perceived control across the adult lifespan: Longitudinal changes in global control and daily stressor control","Developmental Psychology","","1939-0599","10.1037/dev0001618","","Perceived control is an important psychosocial resource for health and well-being across the lifespan. Global control (i.e., overall perceived control) decreases over time in studies following people every few years to upwards of 10 years. Changes across wider intervals of the lifespan, however, have yet to be examined. Further, how perceived control changes for specific aspects of daily life, such as stressors, remains comparatively less clear. Using data from the Midlife in the United States National Study of Daily Experiences (NSDE, N = 1,940, M = 56.25 years, SD = 12.20, 57% female), we examined longitudinal changes in global control across 20 years and daily stressor control across 10 years. Global control was assessed in the first wave of the NSDE (∼1996). In follow-up waves, conducted in ∼2008 and ∼2017, participants again not only reported their global control but also reported their perceived control over stressors they experience across 8 consecutive days. Longitudinal analyses revealed differential change trajectories for global control across 20 years and stressor control across 10 years (ps < .001). Global control declined for younger and older adults but stayed relatively stable for individuals in midlife. The rate of decline in daily stressor control was steeper than the decline in global control and did not vary by age at baseline. In addition, declines were amplified among individuals with higher global control at baseline. Results suggest that daily stressor control is a specific aspect of control beliefs that follows a different rate of change than global control. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","2024","2025-07-15 03:33:43","2025-07-24 01:16:56","","45-58","","1","60","","","Perceived control across the adult lifespan","","","","","","","","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\ECUQJMQJ\Cerino 等 - 2024 - 01_Perceived control across the adult lifespan Longitudinal changes in global control and daily str.pdf","","","Individual Differences; Life Span; Stress; Perceived Control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IXBPFIVR","journalArticle","2024","Turner, Kit; Lilgendahl, Jennifer P.; Syed, Moin; McLean, Kate C.","00_Testing exploratory narrative processing as a mechanism of change in identity status processes over 4 years in college-going emerging adults","Developmental Psychology","","1939-0599","10.1037/dev0001665","","We examined the critical task of emerging adulthood—identity development—via analyses of trajectories of identity exploration and commitment over the college years, as well as whether narrative processing of important events during this period served as a mechanism of identity exploration and commitment. We took advantage of a unique and comprehensive longitudinal design, which included 12 waves of data, both quantitative and qualitative assessments, collected over 4 years, on two distinct college campuses in the Northwestern and Northeastern regions of the United States (Wave 1, n = 639; growth models using all waves, n = 251). Analyses for this study were preregistered after data collection was complete. We first examined trajectories of exploration and commitment via the dual-cycle identity model. Second, we examined whether exploratory processing in the narration of future self-defining memories at specific waves predicted changes in exploration and commitment in subsequent waves. Findings indicated that exploration and commitment showed trajectories typically viewed as normative (e.g., increasing adaptive forms of exploration and commitment), although trajectories for those at higher socioeconomic statuses differed by showing more exploration and less commitment. We failed to find evidence that exploratory processing predicted changes in exploration and commitment. Implications include distinctions in measurement and theoretical approaches to the study of identity development, the need for greater understanding of what is developing before theorizing how it develops, and the limitations of what is considered normative without attention to structural constraints, such as social class. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","2024","2025-07-15 03:33:43","2025-07-29 11:35:00","","59-74","","1","60","","","","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\U3X5VGBF\Turner 等 - 2024 - Testing exploratory narrative processing as a mechanism of change in identity status processes over.pdf","","","Narratives; Emerging Adulthood; Colleges; Commitment; Identity Formation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8P4T93L","journalArticle","2024","Pfund, Gabrielle N.; Olaru, Gabriel; Allemand, Mathias; Hill, Patrick L.","01_Purposeful and purposeless aging: Structural issues for sense of purpose and their implications for predicting life outcomes","Developmental Psychology","","1939-0599","10.1037/dev0001633","","Despite the value of sense of purpose during older adulthood, this construct often declines with age. With some older adults reconsidering the relevance of purpose later in life, the measurement of purpose may suffer from variance issues with age. The current study investigated whether sense of purpose functions similarly across ages and evaluated if the predictive power of purpose on mental, physical, cognitive, and financial outcomes changes when accounting for a less age-affected measurement structure. Utilizing data from two nationwide panel studies (Health and Retirement Study: n = 14,481; Midlife in the United States: n = 4,030), the current study conducted local structural equation modeling and found two factors for the positively and negatively valenced purpose items in the Purpose in Life subscale (Ryff, 1989), deemed the purposeful and purposeless factor. These factors become less associated with each other at higher ages. When reproducing past findings with this two-factor structure, the current study found that the purposeful and purposeless factors predicted these outcomes in the same direction as would be suggested by past research, but the magnitude of these effects differed for some outcomes. The discussion focuses on the implications of what this means for our understanding of sense of purpose across the lifespan. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","2024","2025-07-15 03:33:43","2025-07-24 01:20:23","","75-93","","1","60","","","Purposeful and purposeless aging","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\8EIZ2FRE\Pfund 等 - 2024 - 01_Purposeful and purposeless aging Structural issues for sense of purpose and their implications f.pdf","","","Structural Equation Modeling; Older Adulthood; Age Differences; Aging; Meaningfulness; Sense of Coherence; Sense of Purpose","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJIRMCN6","journalArticle","2024","Ajrouch, Kristine J.; Hu, Rita Xiaochen; Webster, Noah J.; Antonucci, Toni C.","00_Friendship trajectories and health across the lifespan","Developmental Psychology","","1939-0599","10.1037/dev0001589","","Friends are a vital source of social relations throughout the lifespan and across developmental stages. Our knowledge of how friendships develop over time, especially from childhood through adulthood, is limited. Furthermore, it is now recognized that this specific type of relationship influences health across the life course in unique ways. Using the Convoy Model of Social Relations as a guiding framework, this study charts the multiple and unique trajectories of friendship across adulthood and tests whether these trajectories influence health differentially by age. The sample for the study consisted of 553 adults from the longitudinal Social Relations Study. Respondents ranged in age from 13 to 77 at Wave 1 (1992), and included only those who reported a best friend in each wave, that is, Wave 2 (2005) and Wave 3 (2015). Approximately 65% of the respondents were women, and 24.5% were people of color. Latent growth curve analysis identified three trajectories of the presence of friends in one’s network over time, two trajectories of positive friend quality, and three for negative quality. The most consistent findings are associated with positive friend relations over time. Gender was associated with friendship quality where women reported more positive friend relations over time, and increasing positive friend relations predicted better health 23 years later. These findings demonstrate that consistent and increasing positive friendships yield health benefits over time, whereas the presence of friends and negative quality does not have an effect. Overall, findings advance understanding of the long-term effects of social relations across the lifespan and life course. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","2024","2025-07-15 03:33:43","2025-07-29 11:35:06","","94-107","","1","60","","","","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\LIL5E53Z\Ajrouch 等 - 2024 - Friendship trajectories and health across the lifespan.pdf","","","Major Depression; Symptoms; Life Span; Friendship; Health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RZ6XIKK","journalArticle","2024","Burger, Kaspar; Becker, Michael; Schoon, Ingrid","01_Mental health and educational attainment: How developmental stage matters","Developmental Psychology","","1939-0599","10.1037/dev0001634","","Developmental science suggests that the consequences of mental health problems for life-course outcomes may depend on the timing of their onset. This study investigated the extent to which mental health predicted educational attainment at ages 17, 20, and 25 and whether gender moderated the links between mental health and educational attainment. It used data from Next Steps, a nationally representative panel survey of individuals born in 1989/1990 in England (N = 15,594, 48% female, 33% ethnic minority). The findings suggest that differences in mental health were more consequential for educational attainment during adolescence than in young adulthood. On average, girls attained higher levels of education than boys, but gender did not moderate the role that mental health played for educational attainment. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","2024","2025-07-15 03:33:43","2025-07-24 01:26:03","","108-123","","1","60","","","Mental health and educational attainment","","","","","","","","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\PL5684Q7\Burger 等 - 2024 - 01_Mental health and educational attainment How developmental stage matters.pdf","","","Mental Health; Life Span; Developmental Stages; Educational Attainment Level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9I3RMWFW","journalArticle","2024","Colomer, Marc; Hwang, Hyesung Grace; Burke, Nicole; Woodward, Amanda","00_Development of infants’ preferential looking toward native language speakers across distinct social contexts","Developmental Psychology","","1939-0599","10.1037/dev0001669","","Presenting pictures of faces side by side is a common paradigm to assess infants’ attentional biases according to social categories, such as gender, race, and language. However, seeing static faces does not represent infants’ typical experience of the social world, which involves people in motion and performing actions. Here, we assessed infants’ looking preferences for native over foreign language speakers in two social contexts: the presentation of static faces and the presentation of people performing instrumental actions. In addition, we tested infants’ preferential looking at 5 and 9 months of age to assess whether their pattern of preferential looking changes across development. The results of 5-month-old infants replicated and extended previous findings by showing that, at this age, infants typically look longer at people who previously spoke their native language. As found for other social categories such as race and gender, this familiarity-based looking preference was not evident at 9 months of age when infants were presented with static faces. However, when presented with more informative dynamic events, 9-month-old infants showed a temporally aligned preference for the native over the foreign language speaker. Specifically, infants’ looking preference was time-locked to the completion of the action goal: when speakers grasped and lifted a toy. These results suggest potentially a familiarity-based preference toward native language speakers around 5 months of age, which may later develop into a more strategic selective response in service of information-seeking. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","2024","2025-07-15 03:33:43","2025-07-29 11:35:13","","124-134","","1","60","","","","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\7BXBU4GG\Colomer 等 - 2024 - Development of infants’ preferential looking toward native language speakers across distinct social.pdf","","","Foreign Languages; Infant Development; Language; Native Language; Preferences; Social Categorization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IJJQ8YI7","journalArticle","2024","Birulés, Joan; Bosch, Laura; Lewkowicz, David J.; Pons, Ferran","00_Time course of attention to a talker’s mouth in monolingual and close-language bilingual children","Developmental Psychology","","1939-0599","10.1037/dev0001659","","We presented 28 Spanish monolingual and 28 Catalan–Spanish close-language bilingual 5-year-old children with a video of a talker speaking in the children’s native language and a nonnative language and examined the temporal dynamics of their selective attention to the talker’s eyes and mouth. When the talker spoke in the children’s native language, monolinguals attended equally to the eyes and mouth throughout the trial, whereas close-language bilinguals first attended more to the mouth and then distributed attention equally between the eyes and mouth. In contrast, when the talker spoke in a nonnative language (English), both monolinguals and bilinguals initially attended more to the mouth and then gradually shifted to a pattern of equal attention to the eyes and mouth. These results indicate that specific early linguistic experience has differential effects on young children’s deployment of selective attention to areas of a talker’s face during the initial part of an audiovisual utterance. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","2024","2025-07-15 03:33:43","2025-07-29 11:35:19","","135-143","","1","60","","","","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\Q7NQD8WS\Birulés 等 - 2024 - Time course of attention to a talker’s mouth in monolingual and close-language bilingual children.pdf","","","Childhood Development; Foreign Languages; Native Language; Bilingualism; Monolingualism; Mouth (Anatomy); Selective Attention","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
