"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"P3G59HNP","journalArticle","2024","Wright, Aidan G. C.","10_Inaugural editorial","Journal of Psychopathology and Clinical Science","","2769-755X","10.1037/abn0000889","","In this inaugural editorial, the author discusses his editorial priorities for the Journal of Psychopathology and Clinical Science (JCPS), as well as transparency and openness as they relate to the journal. In sum, the author believes psychopathology is amid a major paradigm shift. Some of the associated changes are quite visible, as they relate to moving away from traditional diagnostic nosologies toward more scientifically tractable models. However, to be successful in the next era we need to develop models that are transdiagnostic, multilevel, temporally informed, and for everyone. JPCS has long been a leader in publishing this work, and he intends to ensure it continues in its role as a forward-thinking and rigorous journal devoted to understanding psychopathology. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","2024","2025-07-15 02:31:33","2025-09-11 02:26:06","","1-3","","1","133","","","","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\MDP2N5B5\Wright - 2024 - Inaugural editorial.pdf","","","Clinical Psychology; Open Science; Paradigm Shift; Psychopathology; Research Transparency; Scientific Communication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HPD7YL2","journalArticle","2024","Forbes, Miriam K.; Ringwald, Whitney R.; Allen, Timothy; Cicero, David C.; Clark, Lee Anna; DeYoung, Colin G.; Eaton, Nicholas; Kotov, Roman; Krueger, Robert F.; Latzman, Robert D.; Martin, Elizabeth A.; Naragon-Gainey, Kristin; Ruggero, Camilo J.; Waldman, Irwin D.; Brandes, Cassandra; Fried, Eiko I.; Goghari, Vina M.; Hankin, Benjamin; Sperry, Sarah; Stanton, Kasey; Aftab, Awais; Lynam, Donald; Roche, Michael; Wright, Aidan G. C.","05_Principles and procedures for revising the hierarchical taxonomy of psychopathology","Journal of Psychopathology and Clinical Science","","2769-755X","10.1037/abn0000886","","Quantitative, empirical approaches to establishing the structure of psychopathology hold promise to improve on traditional psychiatric classification systems. The Hierarchical Taxonomy of Psychopathology (HiTOP) is a framework that summarizes the substantial and growing body of quantitative evidence on the structure of psychopathology. To achieve its aims, HiTOP must incorporate emerging research in a systematic, ongoing fashion. In this article, we describe the historical context and grounding of the principles and procedures for revising the HiTOP framework. Informed by strengths and shortcomings of previous classification systems, the proposed revisions protocol is a formalized system focused around three pillars: (a) prioritizing systematic evaluation of quantitative evidence by a set of transparent criteria and processes, (b) balancing stability with flexibility, and (c) promoting inclusion over gatekeeping in all aspects of the process. We detail how the revisions protocol will be applied in practice, including the scientific and administrative aspects of the process. Additionally, we describe areas of the HiTOP structure that will be a focus of early revisions and outline challenges for the revisions protocol moving forward. The proposed revisions protocol is designed to ensure that the HiTOP framework reflects the current state of scientific knowledge on the structure of psychopathology and fulfils its potential to advance clinical research and practice. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","2024","2025-07-15 02:31:33","2025-09-11 02:26:55","","4-19","","1","133","","","","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\G6HPNDBI\Forbes 等 - 2024 - Principles and procedures for revising the hierarchical taxonomy of psychopathology.pdf","","","Psychiatry; Psychodiagnostic Typologies; Psychopathology; Taxonomies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZX22S6SZ","journalArticle","2024","Wilson, Sylia","03_Sociodemographic reporting and sample composition over 3 decades of psychopathology research: A systematic review and quantitative synthesis","Journal of Psychopathology and Clinical Science","","2769-755X","10.1037/abn0000871","","Although researchers seek to understand psychological phenomena in a population, quantitative research studies are conducted in smaller samples meant to represent the larger population of interest. This systematic review and quantitative synthesis considers reporting of sociodemographic characteristics and sample composition in the Journal of Abnormal Psychology (now the Journal of Psychopathology and Clinical Science) over the past 3 decades. Across k = 1,244 empirical studies, there were high and increasing rates of reporting of participant age/developmental stage and sex/gender, low but increasing reporting of socioeconomic status/income, and moderate and stable reporting of educational attainment. Rates of reporting of sexual orientation remained low and reporting of gender identity was essentially nonexistent. There were low to moderate but increasing rates of reporting of participant race and ethnicity. Approximately three-quarters of participants in studies over the past 3 decades were White, while the proportion of participants who were Asian, Black or African American, American Indian or Alaska Native, Native Hawaiian or Other Pacific Islander, or Hispanic/Latino was much lower. Approximately two-thirds of participants were female, with this proportion increasing over time. There were also notable differences in the proportion of study participants as a function of race and sex/gender for different forms of psychopathology. Basic science and theoretical psychopathology research must include sociodemographically diverse samples that are representative of and generalizable to the larger human population, while seeking to decrease stigma of psychopathology and increase mental health equity. Recommendations are made to increase sociodemographic diversity in psychopathology research and the scientific review/publication process. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","2024","2025-07-15 02:31:33","2025-09-11 02:27:17","","20-36","","1","133","","","Sociodemographic reporting and sample composition over 3 decades of psychopathology research","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\6SQQSYLB\Wilson - 2024 - Sociodemographic reporting and sample composition over 3 decades of psychopathology research A syst.pdf","","","Behavioral Sciences; Demographic Characteristics; Psychopathology; Sciences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCXG8B4D","journalArticle","2024","Merchant, Jaisal T.; Barch, Deanna M.; Ermel, Julia A.; Moran, Erin K.; Butler, Pamela D.","00_Differential deficits in social versus monetary reinforcement learning in schizophrenia: Associations with facial emotion recognition","Journal of Psychopathology and Clinical Science","","2769-755X","10.1037/abn0000869","","Despite evidence that individuals with schizophrenia (SZ) have an intact desire for social relationships, they have small social networks and report high levels of loneliness. Difficulty with reinforcement learning (RL), the ability to update behavior based on feedback, may inhibit the formation and maintenance of social relationships in SZ. However, impaired RL in SZ has largely been demonstrated via monetary tasks. Thus, it remains unclear whether SZ are similarly impaired in social and monetary RL, or whether social-specific factors may further inhibit their ability to learn from social feedback. Thirty-one individuals with SZ and 31 healthy controls (HCs) participated in a RL paradigm to test hypotheses about social versus monetary RL. SZ exhibited impaired RL compared to HCs in both social and monetary tasks. Further, a Group × Task interaction demonstrated that SZ was more impaired when learning from social than monetary reinforcement, F(1, 59) = 5.99, p = .017. This differential deficit to social RL was not accounted for by reported pleasure from social feedback, which did not differ between groups. Instead, SZ had poorer emotion recognition than HCs, t(1, 60) = 4.80, p < .001, particularly for negative emotions, and controlling for this eliminated the differential social RL impairment. These results suggest the possibility that difficulty recognizing social cues, especially those indicating negative feedback, may relate to a reduced ability to learn from others’ feedback. Thus, future research could elucidate whether targeting these emotion recognition difficulties in treatment could serve as a potential mechanism for improving social functioning in SZ. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","2024","2025-07-15 02:31:33","2025-09-11 02:29:42","","37-47","","1","133","","","Differential deficits in social versus monetary reinforcement learning in schizophrenia","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\PFN8W6RF\Merchant 等 - 2024 - Differential deficits in social versus monetary reinforcement learning in schizophrenia Association.pdf","","","Emotion Recognition; Feedback; Pleasure; Reinforcement; Schizophrenia; Social Learning; Social Reinforcement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C5EPIJ5B","journalArticle","2024","Cusack, Claire E.; Vanzhula, Irina A.; Sandoval-Araujo, Luis E.; Pennesi, Jamie-Lee; Kelley, Sean W.; Levinson, Cheri A.","00_Are central eating disorder network symptoms sensitive to item selection and sample? Implications for conceptualization of eating disorder psychopathology from a network perspective","Journal of Psychopathology and Clinical Science","","2769-755X","10.1037/abn0000865","","Item selection is a critical decision in modeling psychological networks. The current preregistered two-study research used random selections of 1,000 symptom networks to examine which eating disorder (ED) and co-occurring symptoms are most central in longitudinal networks among individuals with EDs (N = 71, total observations = 6,060) and tested whether centrality changed based on which items were included in the network. Participants completed 2 weeks of ecological momentary assessment (five surveys/day). In Study 1, we obtained initial strength centrality values by estimating an a priori network using eight items with the highest means. We then estimated 1,000 networks and their centrality from a random selection of unique eight-item symptom combinations. We compared the strength centrality from the a priori network to the distribution of strength centrality estimates from the random-item networks. In Study 2, we repeated this procedure in an independent longitudinal dataset (N = 41, total observations = 4,575) to determine if our results generalized across samples. Shame, guilt, worry, and fear of losing control were consistently central across networks, regardless of items included in the network or sample. Results suggest that these symptoms may be important to the structure of ED psychopathology and have implications for how we understand the structure of ED psychopathology. Existing methods for item inclusion in psychological networks may distort the structure of ED symptom networks by either under- or overestimating strength centrality, or by omitting consistently central symptoms that are nontraditional ED symptoms. Future research should consider including these symptoms in models of ED psychopathology. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","2024","2025-07-15 02:31:33","2025-09-11 02:29:46","","48-60","","1","133","","","Are central eating disorder network symptoms sensitive to item selection and sample?","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\67MKHI4V\Cusack 等 - 2024 - Are central eating disorder network symptoms sensitive to item selection and sample Implications fo.pdf","","","Eating Disorders; Ecological Momentary Assessment; Psychopathology; Symptoms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUJTUMZA","journalArticle","2024","Liu, Daphne Y.; Strube, Michael J; Thompson, Renee J.","00_Do emotion regulation difficulties in depression extend to social context? Everyday interpersonal emotion regulation in current and remitted major depressive disorder","Journal of Psychopathology and Clinical Science","","2769-755X","10.1037/abn0000877","","Individuals with major depressive disorder (MDD) have difficulties regulating emotion on their own. As people also use social resources to regulate emotion (i.e., interpersonal emotion regulation [IER]), we examined whether these difficulties extend to IER in current and remitted MDD compared to those with no psychiatric disorders (i.e., controls). Adults with current MDD (n = 48), remitted MDD (n = 80), and controls (n = 87) assessed via diagnostic interviewing completed 2-week experience sampling, reporting on how frequently (IER frequency), from whom (sharing partners), and why (IER goals) they sought IER; how the sharing partners responded (sharing partner’s extrinsic IER strategies and warmth); and how their feelings about the problem and the sharing partner changed following IER (IER outcomes). Using multilevel modeling, the current-MDD group did not differ from controls in IER frequency and sharing partners, but the current-MDD group demonstrated a more mixed (albeit generally adaptive) profile of received IER strategies and benefited similarly or more from certain IER strategies than the other two groups, suggesting that IER may be a promising avenue for effective emotion regulation in current MDD. The remitted-MDD group sought IER most frequently and demonstrated the most adaptive profile of received IER strategies, and they and the current-MDD group reported seeking more types of IER goals than controls. People with remitted MDD seem highly motivated to pursue IER support and their pursuit takes place in particularly supportive social contexts. Research is needed to examine mechanisms driving these group differences and how IER predicts the course of MDD. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","2024","2025-07-15 02:31:33","2025-09-11 02:29:51","","61-75","","1","133","","","Do emotion regulation difficulties in depression extend to social context?","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\HAEVUUN9\Liu 等 - 2024 - Do emotion regulation difficulties in depression extend to social context Everyday interpersonal em.pdf","","","Ecological Momentary Assessment; Emotional Regulation; Interpersonal Interaction; Major Depression; Remission (Disorders)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUZZH8EE","journalArticle","2024","Danböck, Sarah K.; Liedlgruber, Michael; Franke, Laila K.; Miedl, Stephan F.; Hettegger, Sabrina E.; Weber, Rainer-Christian; Wilhelm, Frank H.","00_Acute dissociation as part of the defense cascade: Associations with behavioral, autonomic, and experiential threat responses in posttraumatic stress disorder","Journal of Psychopathology and Clinical Science","","2769-755X","10.1037/abn0000873","","Dissociative symptoms, such as depersonalization and derealization, are experienced by about half of individuals with posttraumatic stress disorder (PTSD). Theoretical models propose that acute dissociation is accompanied by specific behavioral, physiological, and experiential alterations and contributes to unfavorable PTSD symptom course. Yet, empirical evidence is scarce. Here, we explored associations between dissociative and behavioral, physiological, and experiential threat responses as well as effects of dissociative responding on PTSD symptom course. Individuals with PTSD (N = 71) participated in a preregistered script-driven imagery study including exposure to standardized, detail-enriched trauma, and neutral scripts. Stabilometry, eye-tracking, facial electromyography, autonomic psychophysiology, and self-report data were collected. Moreover, PTSD symptoms were assessed before and 3 months after testing. Analyses did not link acute dissociation to bodily and facial immobility or staring in response to trauma scripts. However, dissociation displayed an inverted U-shaped relationship with heart rate and was linked to higher nonspecific skin conductance fluctuation and higher high-frequency heart rate variability in response to trauma scripts. Moreover, acute dissociation was linked to higher self-reported negative affect responses to trauma scripts and displayed a U-shaped relationship with unfavorable PTSD symptom course. While results did not confirm hypothesized behavioral markers of dissociation, they do support defense-cascade model assumptions of an inverted U-shaped relationship between dissociation and psychophysiological arousal resulting from a progression of parasympathetic versus sympathetic dominance with increasing dissociation. On an experiential level, results did not confirm posttraumatic dissociation-induced emotional numbing, questioning theoretical notions. The observed nonlinear associations may help explain the heterogeneity of prior findings and might inform an updated conceptualization of posttraumatic dissociation. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","2024","2025-07-15 02:31:33","2025-09-11 02:29:55","","76-89","","1","133","","","Acute dissociation as part of the defense cascade","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\L7BTEHXB\Danböck 等 - 2024 - Acute dissociation as part of the defense cascade Associations with behavioral, autonomic, and expe.pdf","","","Dissociation; Eye Fixation; Posttraumatic Stress Disorder; Psychophysiology; Symptoms; Threat; Trauma; Visual Tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S37Z4DTC","journalArticle","2024","Kaiser, Roselinde H.; Moser, Amelia D.; Neilson, Chiara; Jones, Jenna; Peterson, Elena C.; Ruzic, Luke; Rosenberg, Benjamin M.; Hough, Christina M.; Sandman, Christina; Schneck, Christopher D.; Miklowitz, David J.","00_Neurocognitive risk phenotyping to predict mood symptoms in adolescence","Journal of Psychopathology and Clinical Science","","2769-755X","10.1037/abn0000866","","Predicting mood disorders in adolescence is a challenge that motivates research to identify neurocognitive predictors of symptom expression and clinical profiles. This study used machine learning to test whether neurocognitive variables predicted future manic or anhedonic symptoms in two adolescent samples risk-enriched for lifetime mood disorders (Sample 1, n = 73, ages = 13–25, M [SD] = 19.22 [2.49] years, 68% lifetime mood disorder) or familial mood disorders (Sample 2, n = 154, ages = 13–21, M [SD] = 16.46 [1.95] years, 62% first-degree family history of mood disorder). Participants completed cognitive testing and functional magnetic resonance imaging at baseline, for behavioral and neural measures of reward processing and executive functioning. Next, participants completed a daily diary procedure for 8–16 weeks. Penalized mixed-effects models identified neurocognitive predictors of future mood symptoms and stress-reactive changes in mood symptoms. Results included the following. In both samples, adolescents showing ventral corticostriatal reward hyposensitivity and lower reward performance reported more severe stress-reactive anhedonia. Poorer executive functioning behavior was associated with heightened anhedonia overall in Sample 1, but lower stress-reactive anhedonia in both samples. In Sample 1, adolescents showing ventral corticostriatal reward hypersensitivity and poorer executive functioning reported more severe stress-reactive manic symptoms. Clustering analyses identified, and replicated, five neurocognitive subgroups. Adolescents characterized by neural or behavioral reward hyposensitivities together with average-to-poor executive functioning reported unipolar symptom profiles. Adolescents showing neural reward hypersensitivity together with poor behavioral executive functioning reported a bipolar symptom profile (Sample 1 only). Together, neurocognitive phenotypes may hold value for predicting symptom expression and profiles of mood pathology. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","2024","2025-07-15 02:31:33","2025-09-11 02:30:01","","90-102","","1","133","","","","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\95I4BGSP\Kaiser 等 - 2024 - Neurocognitive risk phenotyping to predict mood symptoms in adolescence.pdf","","","Adolescent Health; Affective Disorders; Anhedonia; Executive Function; Mania; Neurocognition; Phenotypes; Symptoms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2DDU3CR","journalArticle","2024","Pabst, Arthur; Bollen, Zoé; Masson, Nicolas; Gautier, Mado; Geus, Christophe; Maurage, Pierre","00_Altered attentional processing of facial expression features in severe alcohol use disorder: An eye-tracking study","Journal of Psychopathology and Clinical Science","","2769-755X","10.1037/abn0000868","","Social cognition impairments, and notably emotional facial expression (EFE) recognition difficulties, as well as their functional and clinical correlates, are increasingly documented in severe alcohol use disorder (SAUD). However, insights into their underlying mechanisms are lacking. Here, we tested if SAUD was associated with alterations in the attentional processing of EFEs. In a preregistered study, 40 patients with SAUD and 40 healthy controls (HCs) had to identify the emotional expression conveyed by faces while having their gaze recorded by an eye-tracker. We assessed indices of initial (first fixation locations) and later (number of fixations and dwell-time) attention with reference to regions of interest corresponding to the eyes, mouth, and nose, which carry key information for EFE recognition. We centrally found that patients had less first fixations to key facial features in general, as well as less fixations and dwell time to the eyes specifically, relative to the rest of the face, compared to controls. These effects were invariant across emotional expressions. Additional exploratory analyses revealed that patients with SAUD had a less structured viewing pattern than controls. These results offer novel, direct, evidence that patients with SAUD’s socioaffective difficulties already emerge at the facial attentional processing stage, along with precisions regarding the nature and generalizability of the effects. Potential implications for the mechanistic conceptualization and treatment of social cognition difficulties in SAUD are discussed. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","2024","2025-07-15 02:31:33","2025-09-11 02:30:07","","103-114","","1","133","","","Altered attentional processing of facial expression features in severe alcohol use disorder","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\2KXMQZL6\Pabst 等 - 2024 - Altered attentional processing of facial expression features in severe alcohol use disorder An eye-.pdf","","","Alcohol Use Disorder; Emotionality (Personality); Eye Fixation; Eye Movements; Severity (Disorders); Social Cognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJZ85VPT","journalArticle","2024","Zellers, Stephanie; Alexander, Jordan; Ellingson, Jarrod M.; Schaefer, Jonathan D.; Corley, Robin P.; Iacono, William; Hewitt, John K.; Hopfer, Christian J.; McGue, Matt K.; Vrieze, Scott","02_Limited psychological and social effects of lifetime cannabis use frequency: Evidence from a 30-year community study of 4,078 twins","Journal of Psychopathology and Clinical Science","","2769-755X","10.1037/abn0000867","","Background: Cannabis use is associated with outcomes like income, legal problems, and psychopathology. This finding rests largely on correlational research designs, which rely at best on statistical controls for confounding. Here, we control for unmeasured confounders using a longitudinal study of twins. Method: In a sample of 4,078 American adult twins first assessed decades ago, we used cotwin control mixed effects models to evaluate the effect of lifetime average frequency of cannabis consumption measured on substance use, psychiatric, and psychosocial outcomes. Results: On average, participants had a lifetime cannabis frequency of about one to two times per month, across adolescence and adulthood. As expected, in individual-level analyses, cannabis use was significantly associated with almost all outcomes in the expected directions. However, when comparing each twin to their cotwin, which inherently controls for shared genes and environments, we observed within-pair differences consistent with possible causality in three of the 22 assessed outcomes: cannabis use disorder symptoms (βW-Pooled = .15, SE = .02, p = 1.7 × 10−22), frequency of tobacco use (βW-Pooled = .06, SE = .01, p = 1.2 × 10−5), and illicit drug involvement (βW-Pooled = .06, SE = .02, p = 1.2 × 10−4). Covariate specification curve analyses indicated that within-pair effects on tobacco and illicit drug use, but not cannabis use disorder, attenuated substantially when covarying for lifetime alcohol and tobacco use. Conclusions: The cotwin control results suggest that more frequent cannabis use causes small increases in cannabis use disorder symptoms, approximately 1.3 symptoms when going from a once-a-year use to daily use. For other outcomes, our results are more consistent with familial confounding, at least in this community population of twins. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","2024","2025-07-15 02:31:33","2025-09-11 02:29:34","","115-128","","1","133","","","Limited psychological and social effects of lifetime cannabis use frequency","","","","","","","en-US","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","","D:\soft\Zotero\保存目录\storage\GBSMXTRB\Zellers 等 - 2024 - Limited psychological and social effects of lifetime cannabis use frequency Evidence from a 30-year.pdf","","","Cannabis Use; Cannabis Use Disorder; Drug Usage; Life Span; Mental Disorders; Psychosocial Outcomes; Twins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
