BTS_ID,TPS_ID,Similarity,BTS_final,,final,,matched,outcome of matched
,,,categary,target population,categary,target population,,
99000001,24070017,0.882174727,3,,3,,1,
99000001,24070078,0.886891586,3,,3,,1,
99000002,24030068,0.86226116,3,,3,,1,
99000003,24070042,0.877286035,3,,3,,1,
99000005,24090009,0.837130743,3,,3,,1,
99000006,24030002,0.880853172,3,,3,,1,0
99000006,24030038,0.879109112,3,,3,,1,
99000007,24030039,0.898967,3,,3,,1,
99000007,24030078,0.898495295,3,,3,,1,
99000008,24050084,0.880357144,3,,3,,1,
99000008,24050097,0.88184716,3,,2,,1,
99000011,24040034,0.881955125,3,,3,,1,
99000012,24030031,0.877062112,3,,2,,1,
99000012,24080001,0.87840143,3,,2,,1,
99000013,24070038,0.855225044,3,,3,,1,
99000013,24070071,0.887809659,3,,3,,1,
99000014,24030021,0.83447815,3,,2,,1,0
99000014,24080006,0.83494986,3,,3,,1,
99000016,24030091,0.845711933,3,,3,,1,
99000016,24060009,0.86077077,3,,3,,1,
99000017,24070009,0.892086176,2,,3,,1,
99000018,24080003,0.869208374,3,,2,,1,
99000018,24080008,0.878711108,3,,3,,1,
99000019,24090004,0.898750741,2,,3,,1,0
99000019,24090059,0.899718548,2,,3,,1,
99000021,24070040,0.87099207,2,as the world becomes ¡®smaller¡¯ and more interconnected,3,,1,
99000022,24090025,0.866522473,3,,3,,1,
99000025,24080009,0.85657784,3,,3,,1,
99000025,24090019,0.863912511,3,,3,,1,
99000027,24090040,0.864770727,3,,2,,1,
99000027,24090044,0.870982328,3,,3,,1,
99000028,24070088,0.883383692,3,,3,,1,
99000028,24090023,0.868054668,3,,3,,1,
99000030,24090048,0.894807139,3,,3,,1,
99000030,24090058,0.883719078,3,,3,,1,
99000032,24090028,0.856573727,3,,3,,1,
99000032,24090055,0.864867853,3,,2,,1,
99000033,24070081,0.869944246,2,"They were collected to investigate the relationship between environmental factors (e.g., geographical, climate etc.) and human behaviors, which is a long-standing inquiry in the scientific community.",3,,1,
99000034,24010005,0.851864313,3,,3,,1,0
99000034,24050080,0.859502927,3,,3,,1,
99000035,24070053,0.846382422,3,,3,,1,
99000035,24090075,0.831212651,3,,3,,1,
99000036,24050010,0.837737103,3,,3,,1,
99000036,24070084,0.881339581,3,,3,,1,
99000037,24010110,0.925463896,1,Adolescents,1,adolescents,1,0
99000037,24070062,0.902898242,1,Adolescents,1,Adolescence,1,
99000038,24050018,0.868285935,2,his study was designed to have greater than 0.95 probability of correctly detecting a very small correlation between human guesses and future random events (51% or higher correct guess rate) if that model is true and greater than 0.95 probability of correctly supporting the null model if it is true,2,,1,
99000038,24090067,0.876429127,2,his study was designed to have greater than 0.95 probability of correctly detecting a very small correlation between human guesses and future random events (51% or higher correct guess rate) if that model is true and greater than 0.95 probability of correctly supporting the null model if it is true,3,,1,
99000039,24070055,0.862029395,2,,3,,1,
99000039,24070075,0.854701647,2,,3,,1,
99000041,24050011,0.860765732,3,,3,,1,
99000041,24070023,0.859538656,3,,3,,1,
99000042,24050066,0.846291386,3,,3,,1,
99000042,24080049,0.849403873,3,,2,,1,
99000043,24090033,0.917866292,3,,3,,1,
99000043,24090062,0.918623862,3,,3,,1,
99000044,24030045,0.879335412,2,"The pathogen prevalence approach suggests that humans have an evolved ability to detect cues of transmittable diseases, especially in pathogen-rich environments",3,,1,0
99000044,24090051,0.88179971,2,"The pathogen prevalence approach suggests that humans have an evolved ability to detect cues of transmittable diseases, especially in pathogen-rich environments",3,,1,
99000045,24050045,0.895147243,2,,3,,1,
99000045,24070004,0.891291668,2,,3,,1,
99000046,24050074,0.879637787,3,,3,,1,
99000046,24050153,0.92349561,3,,3,,1,
99000048,24070043,0.867011561,3,,3,,1,
99000048,24080044,0.856072501,3,,3,,1,
99000050,24030026,0.863269998,3,,2,,1,0
99000050,24080045,0.896148661,3,,2,,1,
99000051,24030057,0.851006127,3,,2,,1,
99000051,24030059,0.854532976,3,,3,,1,
99000052,24070001,0.83771299,3,,3,,1,
99000053,24030052,0.865018426,3,,2,,1,
99000054,24050136,0.887794415,2,"Messaging effects on motivation and feelings of defiance observed in this study were small, but they likely have meaningful real-world impacts when accumulated across time and global populations (39, 40), whereas their effects on intentions to comply with social distancing recommendations likely do not.",3,,1,
99000055,24080007,0.83769564,3,,3,,1,
99000055,24080012,0.847328422,3,,3,,1,
99000056,24070039,0.88949398,3,,3,,1,
99000057,24070010,0.872596624,3,,3,,1,
99000057,24080018,0.865410056,3,,2,,1,
99000058,24080035,0.841588817,3,,2,,1,
99000059,24050111,0.855752697,1,toddlers,2,,1,
99000059,24070050,0.857920465,1,toddlers,3,,1,
99000060,24050031,0.857748422,3,,3,,1,
99000060,24050096,0.866956665,3,,3,,1,
99000061,24030003,0.871328332,3,,3,,1,0
99000061,24030072,0.873276568,3,,3,,1,
99000065,24050067,0.89251417,3,,3,,1,0
99000065,24050077,0.864322045,3,,3,,1,
99000067,24050101,0.83345224,3,,3,,1,
99000067,24050138,0.836453935,3,,3,,1,
99000068,24050110,0.854606344,2,global behavior change,3,,1,
