BTS_ID,TPS_ID,Similarity
99000067,24010004,0.855031098
99000034,24010005,0.851864313
99000061,24010006,0.858713992
99000031,24010007,0.86277309
99000036,24010014,0.835402113
99000072,24010015,0.871884076
99000003,24010018,0.895019887
99000048,24010024,0.849466721
99000039,24010029,0.852976424
99000020,24010030,0.897414538
99000021,24010031,0.889051903
99000033,24010037,0.86146587
99000046,24010038,0.876897702
99000059,24010039,0.840389314
99000067,24010043,0.847517967
99000069,24010045,0.859784626
99000015,24010046,0.875467049
99000053,24010047,0.854846278
99000067,24010049,0.848132949
99000053,24010055,0.861009257
99000052,24010059,0.8401247
99000042,24010064,0.842476267
99000024,24010065,0.870049469
99000030,24010068,0.896621742
99000073,24010070,0.827684645
99000034,24010073,0.849555499
99000061,24010074,0.880520636
99000031,24010077,0.874571432
99000008,24010078,0.862417989
99000047,24010079,0.86143025
99000067,24010080,0.848022348
99000022,24010081,0.85230142
99000011,24010083,0.887300518
99000031,24010085,0.866788131
99000059,24010088,0.853288077
99000060,24010089,0.856765182
99000038,24010090,0.866115184
99000068,24010110,0.841414086
99000073,24010112,0.823688503
99000037,24010114,0.925463896
99000003,24010116,0.89594162
99000037,24010118,0.890115755
99000053,24010119,0.85611605
99000020,24010122,0.886721577
99000042,24010127,0.841458935
99000073,24010129,0.822521997
99000005,24010130,0.828893395
99000059,24010135,0.849699224
99000056,24010139,0.85754039
99000032,24020001,0.862246381
99000068,24020006,0.846106846
99000052,24020007,0.851962094
99000064,24020008,0.847694005
99000047,24020011,0.865167451
99000036,24020012,0.831116726
99000017,24020013,0.867531716
99000047,24020017,0.873161011
99000022,24020018,0.865084036
99000067,24020022,0.85257948
99000005,24020023,0.840559083
99000063,24020030,0.871780141
99000054,24020032,0.879411928
99000049,24020034,0.852359251
99000001,24020036,0.881642977
99000003,24020044,0.877460046
99000064,24020047,0.848450966
99000056,24020052,0.867454543
99000061,24020054,0.858848859
99000013,24020063,0.854842518
99000052,24020064,0.849298563
99000051,24030001,0.844756776
99000006,24030002,0.880853172
99000062,24030003,0.871328332
99000010,24030008,0.870177116
99000070,24030010,0.846291156
99000071,24030012,0.818968584
99000010,24030013,0.870495092
99000051,24030014,0.8440857
99000007,24030019,0.889023356
99000014,24030021,0.83447815
99000057,24030022,0.852876999
99000010,24030023,0.87562661
99000012,24030024,0.874838169
99000050,24030026,0.863269998
99000050,24030028,0.85302043
99000012,24030031,0.877062112
99000006,24030038,0.879109112
99000007,24030039,0.898967
99000057,24030040,0.853710672
99000007,24030041,0.895318028
99000058,24030042,0.875231246
99000071,24030043,0.816350012
99000016,24030044,0.843167259
99000044,24030045,0.879335412
99000062,24030046,0.863855214
99000018,24030047,0.868808406
99000029,24030049,0.855023947
99000002,24030050,0.860021907
99000053,24030052,0.865018426
99000012,24030053,0.87385027
99000055,24030054,0.82916294
99000058,24030055,0.877714605
99000002,24030056,0.879906334
99000051,24030057,0.851006127
99000051,24030059,0.854532976
99000010,24030060,0.877548139
99000012,24030065,0.872551102
99000002,24030066,0.870289521
99000002,24030068,0.86226116
99000035,24030069,0.851377524
99000070,24030070,0.843313639
99000062,24030072,0.873276568
99000058,24030073,0.87911153
99000058,24030074,0.859657542
99000010,24030075,0.870260931
99000007,24030078,0.898495295
99000016,24030079,0.843545175
99000007,24030082,0.895894917
99000006,24030083,0.875889165
99000051,24030086,0.844957768
99000026,24030088,0.844969098
99000002,24030089,0.861646354
99000006,24030090,0.87545133
99000016,24030091,0.845711933
99000058,24030093,0.860469394
99000055,24030097,0.831506507
99000055,24030099,0.8330732
99000018,24030101,0.8657293
99000062,24030102,0.870258569
99000040,24030108,0.814282728
99000014,24030109,0.830902556
99000064,24040001,0.846201175
99000028,24040002,0.874753181
99000047,24040003,0.87490207
99000033,24040004,0.857608858
99000044,24040006,0.874501172
99000057,24040007,0.855068956
99000016,24040008,0.856557757
99000064,24040010,0.855643137
99000041,24040011,0.857508589
99000015,24040014,0.874057524
99000013,24040015,0.860235532
99000011,24040016,0.893269043
99000049,24040020,0.870442296
99000054,24040021,0.900630794
99000011,24040028,0.890298255
99000020,24040029,0.893707
99000018,24040030,0.878858766
99000031,24040034,0.864221585
99000011,24040035,0.881955125
99000033,24040037,0.860493056
99000063,24040038,0.880850396
99000026,24040042,0.846703248
99000028,24040049,0.87349167
99000070,24040053,0.845885905
99000025,24040057,0.856973993
99000038,24040058,0.866337906
99000059,24040060,0.846555242
99000041,24040062,0.872222125
99000036,24050010,0.837737103
99000041,24050011,0.860765732
99000040,24050015,0.82150373
99000004,24050016,0.867673796
99000038,24050018,0.868285935
99000050,24050021,0.845714059
99000061,24050031,0.857748422
99000008,24050033,0.869888727
99000011,24050041,0.882854787
99000021,24050042,0.876208221
99000072,24050043,0.871140103
99000045,24050044,0.874069718
99000045,24050045,0.895147243
99000039,24050063,0.858517076
99000060,24050064,0.85278548
99000042,24050066,0.846291386
99000066,24050067,0.89251417
99000004,24050069,0.884574968
99000004,24050070,0.871319972
99000070,24050073,0.84387519
99000046,24050074,0.879637787
99000066,24050077,0.864322045
99000034,24050080,0.859502927
99000008,24050084,0.880357144
99000062,24050090,0.867344421
99000066,24050093,0.863252956
99000024,24050094,0.866787141
99000061,24050096,0.866956665
99000008,24050097,0.88184716
99000033,24050100,0.864660585
99000068,24050101,0.83345224
99000005,24050107,0.844665027
99000064,24050108,0.844774932
99000069,24050110,0.854606344
99000060,24050111,0.855752697
99000044,24050113,0.872332632
99000054,24050114,0.879784157
99000015,24050116,0.873186731
99000020,24050118,0.875648186
99000003,24050119,0.881136905
99000036,24050123,0.85360723
99000031,24050126,0.86137346
99000038,24050132,0.870160582
99000054,24050136,0.887794415
99000072,24050137,0.878243215
99000068,24050138,0.836453935
99000069,24050139,0.856170842
99000021,24050141,0.872361217
99000049,24050142,0.849228663
99000026,24050145,0.858801194
99000039,24050150,0.86267731
99000066,24050151,0.9015297
99000020,24050152,0.88615437
99000046,24050153,0.92349561
99000071,24050156,0.814646207
99000024,24050157,0.870157668
99000021,24050161,0.870837953
99000008,24050163,0.863510654
99000041,24060002,0.868029687
99000056,24060003,0.855782147
99000063,24060006,0.87345977
99000040,24060008,0.826128276
99000016,24060009,0.86077077
99000056,24060012,0.858968012
99000052,24060018,0.838249038
99000028,24060022,0.866747662
99000063,24060024,0.868091998
99000069,24060025,0.856107384
99000052,24070001,0.83771299
99000001,24070003,0.897271277
99000045,24070004,0.891291668
99000063,24070007,0.874154771
99000017,24070009,0.892086176
99000057,24070010,0.872596624
99000069,24070015,0.85692026
99000001,24070017,0.882174727
99000072,24070018,0.872199664
99000017,24070019,0.899629947
99000022,24070020,0.864223974
99000041,24070023,0.859538656
99000022,24070024,0.856843116
99000045,24070027,0.889607178
99000048,24070032,0.849672155
99000040,24070034,0.814943881
99000017,24070035,0.868588031
99000071,24070037,0.809827014
99000013,24070039,0.855225044
99000056,24070040,0.88949398
99000021,24070041,0.87099207
99000003,24070043,0.877286035
99000048,24070044,0.867011561
99000032,24070047,0.855205342
