State,score,EPI_CN_2022,Ruggeri_CN,total_CN,Ruggeri_CN_pro
Beijing,549,1,9,387,0.023255814
Shanghai,549,1,65,387,0.167958656
Tianjin,528,3,1,387,0.002583979
Zhejiang,509,4,85,387,0.219638243
Shandong,496,5,4,387,0.010335917
Guangdong,492,6,15,387,0.03875969
Hubei,489,7,5,387,0.012919897
Jiangsu,488,8,15,387,0.03875969
Shaanxi,485,9,1,387,0.002583979
Fujian,483,10,3,387,0.007751938
Anhui,482,11,2,387,0.005167959
Jiangxi,480,12,1,387,0.002583979
Liaoning,479,13,0,387,0
Xinjiang,479,13,0,387,0
Heilongjiang,475,15,0,387,0
Hebei,474,16,2,387,0.005167959
Chongqing,470,17,2,387,0.005167959
Hunan,469,18,8,387,0.020671835
Sichuan,469,18,41,387,0.105943152
Neimenggu,463,20,0,387,0
Shanxi,462,21,0,387,0
Jilin,460,22,0,387,0
Yunnan,460,22,2,387,0.005167959
Hainan,458,24,1,387,0.002583979
Xizang,456,25,0,387,0
Ningxia,453,26,0,387,0
Guizhou,452,27,1,387,0.002583979
Henan,451,28,22,387,0.056847545
Qinghai,449,29,0,387,0
Guangxi,448,30,102,387,0.263565891
Gansu,441,31,0,387,0
