country,country_map,continent,GDP_per_capita,bts,total_bts,percentage_sample,ps,total_ps
AND,AD,Europe,41.99279336,0,11484,0,33,13646
ARE,AE,Asia,53.75786325,80,11484,0.006968034,0,13646
ATG,AG,North America,18.74517351,0,11484,0,0,13646
ARM,AM,Asia,7.01420659,0,11484,0,0,13646
AGO,AO,Africa,2.99850116,0,11484,0,0,13646
ARG,AR,South America,13.68600867,91,11484,0.007926139,0,13646
AUT,AT,Europe,52.13144666,236,11484,0.020555701,33,13646
AUS,AU,Oceania,64.49142989,885,11484,0.077083878,0,13646
AZE,AZ,Asia,7.73670123,0,11484,0,0,13646
BIH,BA,Europe,7.585375,0,11484,0,33,13646
BRB,BB,North America,20.01851515,0,11484,0,0,13646
BGD,BD,Asia,2.68830395,0,11484,0,0,13646
BEL,BE,Europe,49.58282536,86,11484,0.007490637,125,13646
BFA,BF,Africa,0.83288427,0,11484,0,0,13646
BGR,BG,Europe,13.77247679,0,11484,0,33,13646
BHR,BH,Asia,30.15203468,0,11484,0,0,13646
BDI,BI,Africa,0.23844188,0,11484,0,0,13646
BEN,BJ,Africa,1.30322201,0,11484,0,0,13646
BMU,BM,North America,118.8456211,0,11484,0,0,13646
BRN,BN,Asia,37.15246624,0,11484,0,0,13646
BOL,BO,South America,3.52327373,0,11484,0,0,13646
BRA,BR,South America,8.9176739,201,11484,0.017507186,0,13646
BHS,BS,North America,31.45830081,0,11484,0,0,13646
BWA,BW,Africa,7.73765468,0,11484,0,0,13646
BLR,BY,Europe,7.90485624,0,11484,0,33,13646
BLZ,BZ,North America,6.96836159,0,11484,0,0,13646
CAN,CA,North America,54.96648884,630,11484,0.054873269,0,13646
COD,CD,Africa,0.58646429,0,11484,0,0,13646
CAF,CF,Africa,0.4270581,0,11484,0,0,13646
COG,CG,Africa,2.44798899,0,11484,0,0,13646
CHE,CH,Europe,92.10146974,109,11484,0.009493947,54,13646
CIV,CI,Africa,2.48641219,0,11484,0,0,13646
CHL,CL,South America,15.3555065,430,11484,0.037453184,0,13646
CMR,CM,Africa,1.58847872,0,11484,0,0,13646
CHN,CN,Asia,12.72021564,316,11484,0.027523735,0,13646
COL,CO,South America,6.63028273,446,11484,0.03884679,0,13646
CRI,CR,North America,13.19882172,0,11484,0,0,13646
CPV,CV,Africa,3.90258905,0,11484,0,0,13646
CYP,CY,Asia,31.28350586,0,11484,0,0,13646
CZE,CZ,Europe,27.63837328,0,11484,0,33,13646
DEU,DE,Europe,48.43245587,266,11484,0.023168714,192,13646
DJI,DJ,Africa,3.13611296,0,11484,0,0,13646
DNK,DK,Europe,66.983132,92,11484,0.008013239,33,13646
DMA,DM,North America,8.41453659,0,11484,0,0,13646
DOM,DO,North America,10.12055116,0,11484,0,0,13646
DZA,DZ,Africa,4.27392218,0,11484,0,0,13646
ECU,EC,South America,6.39128248,105,11484,0.009145545,0,13646
EST,EE,Europe,28.33262909,0,11484,0,33,13646
EGY,EG,Africa,4.2954075,0,11484,0,0,13646
ESP,ES,Europe,29.35016852,270,11484,0.023517115,33,13646
ETH,ET,Africa,1.02758592,0,11484,0,0,13646
FIN,FI,Europe,50.53662447,46,11484,0.00400662,33,13646
FJI,FJ,Oceania,5.31665839,0,11484,0,0,13646
FSM,FM,Oceania,3.74105777,0,11484,0,0,13646
FRA,FR,Europe,40.96383734,211,11484,0.01837819,33,13646
GAB,GA,Africa,8.82034734,0,11484,0,0,13646
GBR,GB,Europe,45.85042612,361,11484,0.031443254,488,13646
GRD,GD,North America,10.01620869,0,11484,0,0,13646
GEO,GE,Asia,6.62770698,0,11484,0,0,13646
GHA,GH,Africa,2.17585977,0,11484,0,0,13646
GMB,GM,Africa,0.84001019,0,11484,0,0,13646
GIN,GN,Africa,1.53165648,0,11484,0,0,13646
GNQ,GQ,Africa,7.05346709,0,11484,0,0,13646
GRC,GR,Europe,20.73205222,99,11484,0.008622942,33,13646
GTM,GT,North America,5.47320874,0,11484,0,0,13646
GNB,GW,Africa,0.77582897,0,11484,0,0,13646
GUY,GY,South America,18.9897902,0,11484,0,0,13646
HKG,HK,Asia,48.9836238,0,11484,0,0,13646
HND,HN,North America,3.04017308,0,11484,0,0,13646
HRV,HR,Europe,18.41323468,0,11484,0,33,13646
HTI,HT,North America,1.74825713,0,11484,0,0,13646
